Style_family,Style,Style_family_code,Style_code,Original_gravity_min,Original_gravity_max,Final_gravity_min,Final_gravity_max,Alcohol_by_volume_min,Alcohol_by_volume_max,International_bitterness_units_min,International_bitterness_units_max,Bitterness_ratio_min,Bitterness_ratio_max,Standard_reference_method_min,Standard_reference_method_max,Volumes_of_CO2_min,Volumes_of_CO2_max,Apparent_attenuation_min,Apparent_attenuation_max
Wild/Sour Beers,American Brett,13,1301,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,
Wild/Sour Beers,American Sour,13,1302,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,
Wild/Sour Beers,Belgian-Style Flanders,13,1303,1.044,1.056,1.008,1.016,4.8,6.6,5,18,0.11,0.32,12,25,2,2.5,71,82
Wild/Sour Beers,Belgian-Style Fruit Lambic,13,1304,1.04,1.072,1.008,1.016,5,8.9,15,21,0.29,0.38,Varies,,4,,78,80
Wild/Sour Beers,Belgian-Style Lambic/Gueuze,13,1305,1.044,1.056,1,1.01,6.3,8.9,9,23,0.2,0.41,6,13,1,1.5,82,100
Wild/Sour Beers,Contemporary Gose,13,1306,1.036,1.056,1.008,1.056,4.4,5.4,10,15,0.27,0.28,3,9,3.3,4.5,77,78
Pilseners and Pale Lagers,American Lager,14,1401,1.04,1.048,1.006,1.014,4.1,5.1,5,15,0.13,0.31,2,6,2.2,2.7,71,85
Pilseners and Pale Lagers,Bohemian-Style Pilsener,14,1402,1.044,1.056,1.014,1.02,4.1,5.1,30,45,0.68,0.8,3,7,2,2.5,64,68
Pilseners and Pale Lagers,European-Style Export,14,1403,1.048,1.056,1.01,1.014,5.1,6.1,23,29,0.48,0.52,3,6,2,2.5,75,79
Pilseners and Pale Lagers,German-Style Helles,14,1405,1.044,1.05,1.008,1.012,4.8,5.6,18,25,0.41,0.5,4,5.5,2,2.5,76,82
Pilseners and Pale Lagers,German-Style Pilsner,14,1406,1.044,1.055,1.006,1.012,4.6,5.3,25,40,0.57,0.73,3,4,2,2.5,78,86
Specialty Beers,American Black Ale,15,1501,1.056,1.075,1.012,1.018,6.3,7.6,50,70,0.89,0.93,35,,2,2.5,76,79
Specialty Beers,Barrel-Aged Beer,15,1502,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,
Specialty Beers,Chocolate Beer,15,1503,1.03,1.11,1.006,1.03,2.5,12,15,40,0.36,0.5,15,50,Varies,,73,80
Specialty Beers,Coffee Beer,15,1504,1.03,1.11,1.006,1.03,2.5,12,15,45,0.41,0.5,4,50,Varies,,73,80
Specialty Beers,Fruit and Field Beer,15,1505,1.03,1.11,1.006,1.03,2.5,13.3,5,45,0.17,0.64,5,50,Varies,,73,80
Specialty Beers,Gluten-Free Beer,15,1506,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,
Specialty Beers,Herb and Spice Beer,15,1507,1.03,1.11,1.006,1.03,2.5,12,5,40,0.17,0.36,5,50,Varies,,73,80
Specialty Beers,Honey Beer,15,1508,1.03,1.11,1.006,1.03,2.5,12,1,100,0.03,0.91,Varies,,Varies,,73,80
Specialty Beers,Pumpkin Beer,15,1509,1.03,1.11,1.006,1.03,2.3,12,5,70,0.17,0.64,5,50,Varies,,73,80
Specialty Beers,Rye Beer,15,1510,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,
Specialty Beers,Session Beer,15,1511,1.034,1.04,1.004,1.01,4,5,10,35,0.29,0.87,2,,Varies,,75,88
Specialty Beers,Smoke Beer,15,1512,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,,Varies,
Specialty Beers,Specialty Beer,15,1513,1.03,1.14,1.006,1.03,2.5,25,1,100,Varies,,Varies,,Varies,,Varies,
